Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Carter Jensen","KCR",49,197.027,175.825,42.6119,24.6897,9.87374,0.713517,7.33499,24.5638,26.3453,18.5078,0.560187,51.9394,1.06604,1.34937,0.278505,2.73989,1.53851,0.515648,0.242354,0.0939354,0.263616,0.356334,0.316067,0.431779,0.325413,0.747846,0.189425,4.05473,0.29921,,-0.142614,24.8687,1.35709,104.163,-0.142614,0.34,0.8224890828132629,0.764699786901474,0.871081,999,,,,,,,226.3,4.618367346,226.3,4.618367346,,,,,,,,,,,,,,,,,,,"Carter Jensen","29478",695600
"Kody Clemens","MIN",46,194.089,175.999,41.4274,22.869,8.38649,0.800132,9.37179,25.2263,26.8625,13.9561,0.404487,45.1661,1.80799,1.6218,0.704132,2.76461,2.26424,0.777977,0.235385,0.0719059,0.232709,0.308995,0.29574,0.451876,0.321876,0.747616,0.216491,4.60291,0.26044,,-0.0766766,23.9407,0.779704,104.008,-0.0766766,0.61,0.8387269005179405,0.784897118806839,0.864172,700.7000122070312,,,,,,,216.1,4.697826086,216.1,4.697826086,,,,,,,,,,,,,,,,,,,"Kody Clemens","20572",665019
"Colt Keith","DET",50,215.514,194.381,51.4635,33.194,10.0739,0.879058,7.31665,27.8684,27.026,17.7616,0.456706,43.3749,1.58145,1.58361,0.206094,3.6558,1.90675,0.647452,0.264756,0.082415,0.201263,0.40949,0.328862,0.438548,0.334255,0.76741,0.173792,4.19339,0.303889,,-0.168956,28.7483,3.03062,113.058,-0.168956,0.07,3.142444983124733,-2.3082343861460686,0.861543,502.489990234375,,,,,,,253.1,5.062,253.1,5.062,,,,,,,,,,,,,,,,,,,"Colt Keith","27899",690993
"Vinnie Pasquantino","KCR",58,248.254,220.824,57.7518,34.5176,12.5144,0.455326,10.2646,31.2415,36.1148,22.2109,1.43151,37.5536,2.27998,2.56015,0.379288,4.21297,0.891843,0.249872,0.261529,0.0894684,0.151271,0.591446,0.331791,0.461773,0.342269,0.793565,0.200244,2.90401,0.270481,,-0.236742,34.7303,5.1056,115.788,-0.236742,-0.12,4.374944686889648,-4.801069848239422,0.852058,77.0999984741211,,,,,,,309.4,5.334482758,309.4,5.334482758,,,,,,,,,,,,,,,,,,,"Vinnie Pasquantino","27676",686469
"Cedric Mullins","TBR",51,217.632,192.802,43.9586,26.1984,8.46834,0.953564,8.33832,29.2072,24.9842,19.4398,0.206925,46.8939,2.08681,1.48059,1.59329,2.09603,9.98716,2.1861,0.227998,0.089324,0.215473,0.414548,0.30344,0.411556,0.313024,0.714996,0.183558,6.35236,0.256168,,0.83352,25.2815,-0.688951,97.778,0.83352,-0.39,0.26453059911727905,0.3970370292663574,0.85171,321.5,,,,,,,233.9,4.586274509,233.9,4.586274509,,,,,,,,,,,,,,,,,,,"Cedric Mullins","17929",656775
"Carson Kelly","CHC",40,159.663,140.236,34.3181,23.2865,5.33664,0.421923,5.27297,19.1241,19.5815,15.5465,0.105879,29.013,1.71078,1.3944,0.295612,3.20122,0.520174,0.14787,0.244716,0.0973708,0.181714,0.535846,0.324602,0.401591,0.320705,0.726193,0.156874,3.13972,0.270578,,-0.17605,19.5427,0.489763,103.309,-0.17605,0,0.46300065517425537,2.5842225551605225,0.834688,591.9099731445312,,,,,,,167.8,4.195,167.8,4.195,,,,,,,,,,,,,,,,,,,"Carson Kelly","13620",608348
"Yainer Diaz","HOU",39,157.346,147.617,39.1908,26.2046,6.5407,0.541659,5.90385,19.0142,20.7261,7.15279,0.267203,27.5112,1.00827,1.33361,0.234354,3.55582,0.43904,0.135836,0.265491,0.0454591,0.174846,0.259996,0.301391,0.437122,0.318936,0.738512,0.171631,3.16255,0.288111,,-0.152993,19.0331,0.256744,103.33,-0.152993,-0.59,0.46347494423389435,2.174438178539276,0.834324,113.04000091552734,,,,,,,176.8,4.533333333,176.8,4.533333333,,,,,,,,,,,,,,,,,,,"Yainer Diaz","23003",673237
"Cole Young","SEA",54,233.523,208.96,50.3549,33.4651,10.2549,0.642749,5.9922,27.08,24.5165,19.1008,0.307428,42.5072,2.97214,1.52463,0.965406,4.20349,3.17735,1.02016,0.240979,0.0817943,0.182026,0.449355,0.311441,0.382236,0.306817,0.693677,0.141257,4.34952,0.273869,,-0.086492,25.9512,-1.91558,100.997,-0.086492,-1.15,0.18743149936199188,-0.3166666626930237,0.828983,704.2899780273438,,,,,,,231,4.277777777,231,4.277777777,,,,,,,,,,,,,,,,,,,"Cole Young","31680",702284
"Ryan McMahon","NYY",44,186.683,163.901,35.8508,21.0282,6.73059,0.143967,7.94805,22.6333,24.0051,20.2922,0.385987,57.7625,1.03496,1.20366,0.251097,2.99552,1.33271,0.480275,0.218735,0.108699,0.309415,0.351304,0.306697,0.407036,0.313452,0.713732,0.188301,3.11658,0.280729,,-0.159721,21.7511,-0.526183,100.107,-0.159721,0.99,-0.13624862767755985,1.6690123081207275,0.828273,732.8599853515625,,,,,,,198,4.5,198,4.5,,,,,,,,,,,,,,,,,,,"Ryan McMahon","15112",641857
"Tyler Stephenson","CIN",43,170.842,150.524,36.4636,23.1668,6.52548,0.495602,6.27576,20.8106,21.0743,17.1134,0.257391,45.532,1.67201,1.19226,0.226046,2.97101,0.504684,0.196207,0.242245,0.10017,0.266515,0.375854,0.324038,0.41726,0.325644,0.741298,0.175015,3.03865,0.302156,,-0.205999,21.5957,1.20876,100.019,-0.205999,-0.03,-0.20197183964774013,2.782316179946065,0.824293,294.75,,,,,,,186.2,4.330232558,186.2,4.330232558,,,,,,,,,,,,,,,,,,,"Tyler Stephenson","17988",663886
