"ID","Player","Team","Position","RkOv","Status","Age","Opponent","Score","%D","ADP","Ros","+/-","H/AB","R","HR","RBI","SO","SB","OBP","TB","GP"
"*04nx3*","Jonathan India","KC","2B,3B,LF","479","FA","29","","56.69","97","324.6","72%","0%","117/478","71","12","51","113","6",".342","184","131"
"*05161*","Dominic Canzone","SEA","RF","484","FA","28","","56.48","87","389.8","55%","+2%","112/424","55","18","57","105","5",".329","184","118"
"*05wxy*","Kyle Teel","CHW","C","487","FA","24","","56.31","98","311","93%","0%","106/417","63","13","54","126","6",".361","165","117"
"*04s1g*","Gabriel Moreno","ARI","C","489","FA","26","","56.18","91","338.1","81%","0%","107/383","52","10","56","69","3",".355","159","108"
"*03pit*","Trent Grisham","NYY","CF","490","FA","29","@SF Wed 8:05PM","56.18","100","203","91%","0%","90/404","68","24","62","140","2",".330","177","119"
"*041e2*","Mickey Moniak","COL","LF,CF,RF","493","FA","27","","56.08","100","259.9","76%","0%","108/407","52","18","56","114","9",".303","194","122"
"*025i9*","J.T. Realmuto","PHI","C","495","FA","34","","56.03","99","273.1","82%","0%","117/464","55","14","51","129","7",".312","187","123"
"*04pmu*","Ryan Jeffers","MIN","C","500","FA","28","","55.57","88","334.9","63%","0%","103/412","52","15","54","94","1",".337","172","112"
"*03qr0*","Cedric Mullins","TB","CF","503","FA","31","","55.51","98","293.3","72%","-1%","81/373","52","12","52","92","19",".300","141","111"
"*03pdw*","Andrew Benintendi","CHW","LF","506","FA","31","","55.4","84","399.6","45%","-1%","108/447","54","16","56","79","1",".308","178","123"
"*04y9p*","Anthony Volpe","NYY","SS","507","FA","24","@SF Wed 8:05PM","55.39","92","341.5","84%","0%","102/452","58","13","54","131","17",".286","172","116"
"*03c65*","Victor Robles","SEA","RF","509","FA","28","","55.34","86","396.8","54%","0%","92/360","51","5","39","78","28",".328","132","108"
"*05r1m*","Jordan Lawlar","ARI","3B,SS","510","FA","23","","55.34","92","337.8","89%","0%","103/423","53","9","44","119","22",".339","171","132"
"*03qjv*","Harrison Bader","SF","LF,CF","513","FA","31","NYY Wed 8:05PM","55.27","89","362","55%","0%","111/449","58","15","53","116","10",".306","179","136"
"*060jo*","Cam Smith","HOU","RF","516","FA","22","","55.15","97","315.3","91%","0%","121/500","64","10","59","140","9",".321","182","141"
"*04pbp*","Christopher Morel","MIA","LF","517","FA","26","","55.12","50","463","38%","0%","101/458","58","17","56","144","12",".305","176","134"
"*05ahg*","Austin Wells","NYY","C","518","FA","26","@SF Wed 8:05PM","55.08","90","331.9","81%","-1%","86/380","50","19","70","125","3",".303","166","113"
"*0310n*","Ryan McMahon","NYY","3B","521","FA","31","@SF Wed 8:05PM","54.86","90","359.1","65%","0%","117/527","61","23","55","190","3",".313","212","150"
"*0317o*","Jeff McNeil","ATH","2B,LF,CF","523","FA","33","","54.83","90","352.2","61%","0%","108/428","53","11","50","58","3",".333","173","125"
"*04yib*","Brett Baty","NYM","2B,3B","526","FA","26","","54.77","92","327.5","78%","0%","101/439","56","19","56","130","8",".306","175","123"
"*06rrd*","Young Woong Kim","(N/A)","3B","528","FA","22","","54.7","10","464.9","9%","0%","109/482","55","19","61","158","8",".299","190","138"
"*04pt2*","Lars Nootbaar","STL","LF,CF,RF","529","FA","28","","54.7","90","337.3","71%","0%","114/474","63","14","50","120","4",".338","182","125"
"*04eej*","Gavin Sheets","SD","1B,LF","530","FA","29","","54.6","90","367","62%","-1%","117/475","46","14","61","96","2",".310","188","130"
"*05rch*","Colson Montgomery","CHW","3B,SS","533","FA","23","","54.55","100","226.3","96%","0%","99/459","57","21","64","154","5",".306","181","124"
"*03pji*","KeBryan Hayes","CIN","3B","534","FA","29","","54.53","81","425.1","48%","-1%","127/534","56","11","50","130","12",".291","183","146"
"*031dw*","Mike Yastrzemski","ATL","CF,RF","537","FA","35","","54.5","89","381.6","50%","-1%","99/426","64","17","51","121","5",".320","181","125"
