Name,PA,R,HR,RBI,SO,TB,SB,OBP,zR,zHR,zRBI,zSO,zTB,zSB,zOBP,zTotal
Luis Campusano,600,66,18,69,117,212,4,0.306,0.44,0.24,0.41,-0.63,0.53,0.07,-0.04,1.02
Matt Wallner,600,76,26,77,177,226,6,0.318,0.51,0.35,0.46,-0.95,0.57,0.09,-0.0,1.01
Zach McKinstry,600,72,14,56,135,202,18,0.305,0.48,0.18,0.34,-0.72,0.51,0.27,-0.04,1.01
Bryce Eldridge,600,72,22,74,157,227,5,0.319,0.48,0.3,0.44,-0.84,0.57,0.07,-0.0,1.01
Samuel Basallo,600,68,19,69,133,218,7,0.3,0.45,0.26,0.41,-0.71,0.55,0.1,-0.05,1.01
Isiah Kiner-Falefa,600,67,12,59,117,200,14,0.305,0.45,0.16,0.35,-0.63,0.5,0.22,-0.04,1.01
Ty France,600,67,15,67,119,208,5,0.321,0.45,0.2,0.4,-0.64,0.52,0.08,0.0,1.01
Carlos Santana,600,67,18,67,123,204,7,0.302,0.44,0.25,0.4,-0.66,0.51,0.11,-0.05,1.01
Dylan Beavers,600,72,17,64,146,209,13,0.312,0.48,0.23,0.38,-0.79,0.52,0.2,-0.02,1.0
Nathaniel Lowe,600,71,18,69,142,213,5,0.328,0.47,0.25,0.41,-0.76,0.53,0.07,0.02,1.0
Edgar Quero,600,65,14,65,111,209,3,0.324,0.43,0.2,0.39,-0.59,0.52,0.05,0.01,1.0
Mauricio Dubón,600,65,12,63,100,205,6,0.302,0.43,0.17,0.38,-0.54,0.52,0.1,-0.05,1.0
Matt McLain,609,74,19,64,172,213,18,0.31,0.49,0.26,0.38,-0.92,0.54,0.27,-0.03,0.99
Kyle Stowers,609,72,25,81,174,233,4,0.312,0.47,0.35,0.48,-0.94,0.59,0.06,-0.02,0.99
Colt Emerson,600,67,14,63,127,203,11,0.312,0.44,0.2,0.38,-0.68,0.51,0.17,-0.02,0.99
Jake Burger,600,68,26,80,155,236,2,0.285,0.45,0.36,0.48,-0.83,0.59,0.04,-0.1,0.99
Jhostynxon Garcia,600,68,18,71,145,220,9,0.302,0.45,0.25,0.42,-0.78,0.55,0.14,-0.05,0.99
