Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Nate Furman","SFG",3,14,12,3,2,0,0,0,2,1,1,0,2,0,0,0,,0,0,0.255357,0.0965189,0.165492,0.583225,0.340531,0.360302,0.313585,0.700833,0.104945,5.15508,0.296123,-0.000548981,0.00598993,1.66024,0.00602786,102.795,0.00544095,-0.0704348,0.051811333745718,-0.020434778183698654,0.0508657,999,,,,,,,7.8,2.6,7.8,2.6,,,,,,,,,,,,,,,,,,,"Nate Furman","sa3020763",801501
"Kyren Paris","LAA",6,28,25,5,3,1,0,1,3,3,3,0,9,0,0,0,,1,0,0.205117,0.0932697,0.335108,0.278327,0.289062,0.35276,0.284417,0.641823,0.147643,6.95911,0.291708,0,0.0914033,2.65739,-0.651029,79.2902,0.0914033,0.0247653,-0.5920465812087059,0.12476527132093906,0.0507913,999,,,,,,,26.2,4.366666666,26.2,4.366666666,,,,,,,,,,,,,,,,,,,"Kyren Paris","26420",677347
"Anthony Seigler","MIL",10,42,36,8,5,2,0,1,5,4,5,0,10,0,0,0,,1,0,0.211408,0.124389,0.234832,0.529692,0.314829,0.337686,0.293271,0.652515,0.126278,5.66641,0.264861,-0.000819295,0.0580736,4.28797,-0.674654,87.2395,0.0572544,-0.478241,-0.5779467448592186,-0.3282412886619568,0.050252,999,,,,,,,40.9,4.09,40.9,4.09,,,,,,,,,,,,,,,,,,,"Anthony Seigler","23802",678011
"Tim Tawa","ARI",23,98,88,20,13,4,0,3,11,11,8,0,25,1,1,0,,2,1,0.223129,0.0794974,0.251617,0.315946,0.290443,0.368398,0.289337,0.658841,0.145269,4.86856,0.275406,-0.00151974,-0.053851,9.69229,-1.88717,82.8061,-0.0553707,0.431869,-2.052450779825449,-0.7181308269500732,0.0501231,999,,,,,,,91.8,3.991304347,91.8,3.991304347,,,,,,,,,,,,,,,,,,,"Tim Tawa","29571",694374
"Jhonny Pereda","SEA",3,13,11,3,2,1,0,0,1,1,1,0,3,0,0,0,,0,0,0.243378,0.105395,0.242551,0.434527,0.326506,0.338652,0.298607,0.665157,0.0952739,2.2359,0.319773,-0.0046693,-0.0198718,1.36227,-0.15015,96.7745,-0.0245411,-0.0991124,-0.07320228591561317,0.1508876159787178,0.0494719,999,,,,,,,11.7,3.9,11.7,3.9,,,,,,,,,,,,,,,,,,,"Jhonny Pereda","19802",640902
"Wade Meckler","LAA",8,35,31,8,6,1,0,0,4,3,3,0,7,0,0,0,,1,0,0.25635,0.0975136,0.210734,0.462734,0.332221,0.347663,0.303306,0.679883,0.0913132,4.49132,0.323016,-0.00245642,-0.0190367,3.85848,-0.277038,92.3018,-0.0214931,-0.23719,-0.3390567861497402,-0.41218993067741394,0.0463881,999,,,,,,,27.6,3.45,27.6,3.45,,,,,,,,,,,,,,,,,,,"Wade Meckler","31490",685133
"Dylan Carlson","CHC",5,21,18,4,3,1,0,0,2,2,2,0,5,0,0,0,,0,0,0.229691,0.107827,0.232089,0.464594,0.321082,0.365346,0.305055,0.686429,0.135655,4.43554,0.283416,0.00398829,-0.0185524,2.3449,-0.136409,96.3496,-0.0145641,0.0754832,-0.1054203575477004,-0.1495167538523674,0.0453999,999,,,,,,,13.3,2.66,13.3,2.66,,,,,,,,,,,,,,,,,,,"Dylan Carlson","20126",666185
"Ryan Ward","LAD",5,21,19,4,3,1,0,1,3,3,2,0,5,0,0,0,,0,0,0.226996,0.0784136,0.25785,0.304106,0.290409,0.423679,0.30704,0.714088,0.196683,4.98683,0.266083,-0.00436841,-0.0114021,2.37876,-0.102552,96.4268,-0.0157706,0.0997388,-0.10470559075474739,-0.17526119947433472,0.0428391,999,,,,,,,21.7,4.34,21.7,4.34,,,,,,,,,,,,,,,,,,,"Ryan Ward","sa1169792",669899
"Gustavo Campero","LAA",5,21,19,5,3,1,0,1,2,2,1,0,4,1,0,0,,1,0,0.245263,0.0711323,0.193187,0.368204,0.31911,0.393496,0.312996,0.712606,0.148233,6.45565,0.285325,-0.00021262,0.0507063,2.48031,-0.00100221,98.9771,0.0504936,-0.109516,0.02517595700919628,-0.3345155194401741,0.0423007,999,,,,,,,29.2,5.84,29.2,5.84,,,,,,,,,,,,,,,,,,,"Gustavo Campero","22707",672569
"Ben Rortvedt","CIN",13,51,45,9,6,2,0,1,5,5,5,0,14,1,0,0,,0,0,0.203344,0.089757,0.268235,0.334621,0.286268,0.312568,0.269533,0.598836,0.109224,2.34354,0.265701,-0.0211421,-0.102179,4.24049,-1.80918,65.344,-0.123322,-0.164981,-2.2263393327593803,0.8350185304880142,0.0409643,999,,,,,,,38.6,2.969230769,38.6,2.969230769,,,,,,,,,,,,,,,,,,,"Ben Rortvedt","20287",666163
"Rhylan Thomas","SEA",5,21,19,5,4,1,0,0,2,2,1,0,2,0,0,0,,1,0,0.261919,0.0612327,0.0910288,0.672674,0.310686,0.34228,0.288513,0.652966,0.0803613,4.61177,0.279771,-0.00196787,0.00446602,2.06288,-0.418434,89.8214,0.00249815,0.141539,-0.24943170370534062,-0.08346103131771088,0.0398909,999,,,,,,,16.8,3.36,16.8,3.36,,,,,,,,,,,,,,,,,,,"Rhylan Thomas","31793",689041
"Jared Young","NYM",3,14,12,3,2,1,0,0,2,2,1,0,3,0,0,0,,0,0,0.237623,0.0941335,0.241858,0.38921,0.320443,0.413513,0.321059,0.733957,0.175891,4.38955,0.285112,-0.00545264,-0.012757,1.74519,0.0909813,108.822,-0.0182097,-0.0686738,0.12817542254924774,-0.21867376565933228,0.0383964,999,,,,,,,10.7,3.566666666,10.7,3.566666666,,,,,,,,,,,,,,,,,,,"Jared Young","20404",676724
"Willie MacIver","TEX",3,13,11,3,2,1,0,0,1,1,1,0,3,0,0,0,,0,0,0.22639,0.0772064,0.266807,0.289372,0.296757,0.353449,0.287603,0.650207,0.12706,4.73417,0.293966,-0.00130045,-0.000510975,1.24791,-0.264505,84.0683,-0.00181142,0.00690852,-0.24216104426886886,0.2569085229188204,0.0378949,999,,,,,,,11.7,3.9,11.7,3.9,,,,,,,,,,,,,,,,,,,"Willie MacIver","24641",680862
"Kevin Alcántara","CHC",8,35,32,7,5,1,0,1,4,4,3,0,11,0,0,0,,1,0,0.23133,0.0776693,0.313651,0.247629,0.293729,0.366203,0.290071,0.659932,0.134873,4.20494,0.320492,0.00102736,-0.0152563,3.4824,-0.653122,86.0856,-0.0142289,-0.0359723,-0.5914290025830269,-0.21097233891487122,0.037043,999,,,,,,,30.4,3.8,30.4,3.8,,,,,,,,,,,,,,,,,,,"Kevin Alcantara","25971",682634
"Heston Kjerstad","BAL",5,21,19,5,3,1,0,1,2,3,1,0,5,0,0,0,,0,0,0.237627,0.0662385,0.261684,0.253124,0.30149,0.401427,0.305479,0.702917,0.1638,4.13196,0.295571,-0.00301755,-0.0261208,2.35214,-0.129175,96.4211,-0.0291383,-0.0216481,-0.1177188828587532,-0.24664811417460442,0.0366707,999,,,,,,,24.3,4.86,24.3,4.86,,,,,,,,,,,,,,,,,,,"Heston Kjerstad","31166",677008
"Victor Mesa Jr.","MIA",5,21,19,5,3,1,0,1,2,2,1,0,4,0,0,0,,0,0,0.235854,0.0705257,0.206712,0.341178,0.293995,0.372631,0.29203,0.666626,0.136777,4.35777,0.277123,0.00143795,-0.0165204,2.12284,-0.358476,84.2941,-0.0150825,-0.0093669,-0.4059915114194155,0.06563309859484434,0.0366603,999,,,,,,,24.3,4.86,24.3,4.86,,,,,,,,,,,,,,,,,,,"Victor Mesa Jr.","25999",683748
"Grant McCray","SFG",8,35,32,7,5,1,0,1,4,4,3,0,11,0,0,0,,1,0,0.223056,0.0771409,0.303509,0.254163,0.287378,0.359131,0.284101,0.646509,0.136075,6.63816,0.30637,-0.00114518,0.0689582,3.31274,-0.822783,82.5967,0.067813,0.0223889,-0.6541139557957649,-0.1526110488921404,0.0366006,999,,,,,,,30.4,3.8,30.4,3.8,,,,,,,,,,,,,,,,,,,"Grant McCray","25690",687529
"Blake Dunn","CIN",8,35,30,7,5,1,0,1,4,4,3,0,10,1,0,0,,1,0,0.231845,0.0893894,0.288181,0.310184,0.319733,0.340887,0.296911,0.66062,0.109042,5.73483,0.321236,-0.000350736,0.0691336,3.67675,-0.458769,84.0984,0.0687829,-0.142611,-0.5908492133021355,-0.21761147677898407,0.036423,999,,,,,,,35.4,4.425,35.4,4.425,,,,,,,,,,,,,,,,,,,"Blake Dunn","29487",694362
"Rodolfo Durán","SDP",3,13,12,3,2,1,0,0,1,1,1,0,3,0,0,0,,0,0,0.224152,0.0548564,0.239897,0.228666,0.271048,0.366323,0.277555,0.637371,0.142171,3.61818,0.270839,-0.00310766,-0.00946794,1.14349,-0.368931,79.4578,-0.0125756,-0.004,-0.3242135373875499,0.2459999998100102,0.0355685,999,,,,,,,10.7,3.566666666,10.7,3.566666666,,,,,,,,,,,,,,,,,,,"Rodolfo Duran","sa877500",660710
"Spencer Jones","NYY",6,28,25,6,3,1,0,1,4,4,2,0,11,0,0,0,,1,0,0.223105,0.078702,0.376014,0.209306,0.288986,0.411095,0.302869,0.700081,0.18799,5.96126,0.325783,-0.00249963,0.0293492,3.07685,-0.231563,94.3072,0.0268496,-0.1566,-0.16102096997201443,-0.45660001039505005,0.0354097,999,,,,,,,28.8,4.8,28.8,4.8,,,,,,,,,,,,,,,,,,,"Spencer Jones","sa3019969",682987
"Enrique Hernández",,75,322,294,66,43,14,0,9,35,36,23,0,75,1,3,1,,1,1,0.224981,0.0719319,0.231707,0.310443,0.281838,0.363374,0.282267,0.645213,0.138393,2.71466,0.268984,0.18046,-0.499981,29.9977,-8.04907,78.6109,-0.319521,-1.20095,-8.459673941135406,-2.100948452949524,0.0345044,999,,,,,,,271.9,3.625333333,271.9,3.625333333,,,,,,,,,,,,,,,,,,,"Enrique Hernandez","10472",571771
"Ryan Kreidler","MIN",16,70,61,12,8,3,0,1,7,6,7,0,22,1,0,0,,2,1,0.195979,0.105287,0.308998,0.340738,0.290912,0.303382,0.269623,0.594294,0.107403,5.03494,0.280146,0.00662308,-0.0114471,5.80267,-2.46837,69.5194,-0.00482404,-0.00331262,-2.519574048463255,0.4466873954515904,0.0344179,999,,,,,,,49.3,3.08125,49.3,3.08125,,,,,,,,,,,,,,,,,,,"Ryan Kreidler","25867",668952
"Joey Loperfido","TOR",6,28,25,6,4,1,0,1,3,3,2,0,8,0,0,0,,1,0,0.237928,0.0665263,0.277137,0.240048,0.300071,0.389288,0.300506,0.689359,0.15136,4.98075,0.309102,-0.00215011,-0.0121428,3.02314,-0.285275,92.1551,-0.014293,-0.0552623,-0.2731862338259816,-0.3552623502910137,0.0343019,999,,,,,,,28.8,4.8,28.8,4.8,,,,,,,,,,,,,,,,,,,"Joey Loperfido","29630",694388
"Chadwick Tromp","ATL",10,38,35,7,5,1,0,1,3,3,3,0,10,0,0,0,,0,0,0.206309,0.0701333,0.266649,0.263017,0.262937,0.318911,0.257322,0.581848,0.112602,2.95802,0.263775,-0.0082459,-0.0258995,2.79964,-1.73761,61.3878,-0.0341454,-0.0320007,-1.7914621271193027,0.7179992683231831,0.0308766,999,,,,,,,25.5,2.55,25.5,2.55,,,,,,,,,,,,,,,,,,,"Chadwick Tromp","16953",644433
"Denzer Guzman","LAA",6,28,25,5,4,1,0,1,3,3,2,0,8,0,0,0,,0,0,0.216646,0.0759648,0.299209,0.253886,0.282529,0.343117,0.276662,0.625645,0.126471,4.12825,0.294779,0.00120678,-0.0187879,2.48109,-0.827328,73.948,-0.0175811,0.0650686,-0.8773299232125282,0.21506858617067337,0.0308424,999,,,,,,,21.3,3.55,21.3,3.55,,,,,,,,,,,,,,,,,,,"Denzer Guzman","28816",694203
"Adrian Del Castillo","ARI",71,304,274,63,39,14,1,9,32,36,26,1,85,2,2,0,,1,0,0.230855,0.0845121,0.280212,0.301601,0.300169,0.389218,0.300345,0.689387,0.158363,3.33014,0.298525,-0.114831,-0.319425,32.8259,-3.14132,90.3466,-0.434256,-0.0160347,-3.9169676899909973,-5.91603478975594,0.0304692,999,,,,,,,295.6,4.163380281,295.6,4.163380281,,,,,,,,,,,,,,,,,,,"Adrian Del Castillo","29554",680728
"Zac Veen","COL",29,126,114,28,19,6,1,3,14,14,9,0,30,1,1,1,,4,1,0.249837,0.0748064,0.235445,0.317724,0.311281,0.394993,0.307864,0.706274,0.145156,5.8796,0.309014,-0.0088927,0.083898,14.3568,-0.531066,82.8289,0.0750053,-0.0566214,-2.4892657101154327,-1.4066213816404343,0.0303012,999,,,,,,,128.9,4.444827586,128.9,4.444827586,,,,,,,,,,,,,,,,,,,"Zac Veen","27770",691728
"Sterlin Thompson","COL",6,28,25,7,4,1,0,1,3,3,2,0,6,1,0,0,,0,0,0.258364,0.071845,0.231849,0.309878,0.325288,0.413128,0.322413,0.738417,0.154765,5.1493,0.318738,-0.00247607,-0.0191561,3.52116,0.212742,92.7957,-0.0216322,-0.0768814,-0.260713754221797,-0.376881368458271,0.030077,999,,,,,,,35.5,5.916666666,35.5,5.916666666,,,,,,,,,,,,,,,,,,,"Sterlin Thompson","sa3019999",694514
"César Prieto","STL",5,21,20,5,4,1,0,0,2,2,1,0,3,0,0,0,,0,0,0.256321,0.0463212,0.149977,0.308856,0.298687,0.363956,0.290432,0.662643,0.107635,4.12491,0.290621,-0.00350768,-0.0590868,2.09558,-0.385728,86.6882,-0.0625945,-0.0861034,-0.39391542971134186,-0.011103399097919464,0.0300447,999,,,,,,,13.9,2.78,13.9,2.78,,,,,,,,,,,,,,,,,,,"Cesar Prieto","30163",693409
