Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Trent Grisham","NYY",125.402,521.788,442.462,98.7045,53.5553,19.2235,1.02516,24.9006,68.5931,65.0328,67.8996,0.504866,129.668,5.85236,3.00374,2.57042,8.0458,5.46953,1.82329,0.22308,0.130129,0.248506,0.523643,0.332147,0.439993,0.33643,0.772139,0.216913,3.69604,0.253711,,-0.489873,71.5558,9.90254,117.426,-0.489873,-5.61,10.226891815662384,-3.6747841835021973,2.5078,252.02000427246094,,,,,,,634.1,5.0728,634.1,5.0728,,,,,,,,,,,,,,,,,,,"Trent Grisham","18564",663757
"Francisco Alvarez","NYM",111.909,429.988,383.701,85.3309,54.0287,14.3556,0.663621,16.283,47.2734,51.9421,37.2327,1.28903,116.521,5.70985,2.77824,0.566625,8.509,0.844429,0.398966,0.222389,0.08659,0.270986,0.319537,0.298712,0.390572,0.300964,0.689284,0.168182,2.50601,0.27219,,-0.626161,46.5853,-4.22106,95.0563,-0.626161,6.69,-3.145581603050232,13.222529888153076,2.49466,173.72000122070312,,,,,,,419.6,3.746428571,419.6,3.746428571,,,,,,,,,,,,,,,,,,,"Francisco Alvarez","26121",682626
"J.P. Crawford","SEA",144.6,601.407,520.889,125.232,90.1708,23.7865,1.04858,10.2263,63.7692,54.7937,65.8373,0.783429,115.009,5.28888,3.49948,3.42469,12.8699,4.42354,1.43263,0.24042,0.109472,0.191233,0.572453,0.329729,0.349009,0.303745,0.678738,0.108588,3.30362,0.288125,,-0.761636,66.5151,-4.54582,100.314,-0.761636,-2.64,-0.5390254855155945,4.0544445514678955,2.47748,744.47998046875,,,,,,,566.1,3.904137931,566.1,3.904137931,,,,,,,,,,,,,,,,,,,"J.P. Crawford","15491",641487
"James Wood","WSN",146.033,630.211,550.175,141.831,88.1426,29.0656,1.93491,22.6876,81.9274,78.7948,72.1239,4.46109,184.219,4.25803,3.11199,0.542062,11.4192,17.4038,5.09922,0.257792,0.114444,0.292314,0.391511,0.346551,0.441367,0.341196,0.787918,0.183575,4.84142,0.343967,,0.335853,88.8633,14.399,119.336,0.335853,-0.2,14.778183549642563,-11.565961077809334,2.47387,33.560001373291016,,,,,,,803.2,5.501369863,803.2,5.501369863,,,,,,,,,,,,,,,,,,,"James Wood","29518",695578
"Bryson Stott","PHI",141.029,573.722,517.412,131.95,90.9609,23.889,3.3941,13.7064,71.8587,58.6839,47.6905,1.13977,97.7899,2.92914,4.28561,1.40443,8.78453,22.7815,5.36377,0.25502,0.0831248,0.170448,0.487683,0.319001,0.39378,0.311251,0.712782,0.138761,6.1057,0.288258,,1.4326,66.9494,-0.840243,97.1918,1.4326,3.26,-0.47694170475006104,5.5341880321502686,2.47035,184.88999938964844,,,,,,,623.2,4.419858156,623.2,4.419858156,,,,,,,,,,,,,,,,,,,"Bryson Stott","26294",681082
"Ryan Jeffers","MIN",125.439,500.635,440.33,103.976,67.1621,20.603,0.453717,15.7576,56.3974,54.9482,45.2033,0.52466,106.175,8.98721,3.43556,2.67885,8.99775,2.31894,0.950622,0.236133,0.0902918,0.212081,0.425743,0.317632,0.392341,0.312138,0.709974,0.156208,2.78445,0.274114,,-0.723175,58.781,-0.372861,98.8059,-0.723175,3.34,-1.4277655482292175,7.792309999465942,2.41412,321.82000732421875,,,,,,,516.7,4.1336,516.7,4.1336,,,,,,,,,,,,,,,,,,,"Ryan Jeffers","24618",680777
"Jake Cronenworth","SDP",140.792,575.65,498.021,118.181,76.5608,24.4431,1.50684,15.6706,66.8593,60.3549,60.3843,1.38499,115.804,9.8422,4.07451,2.40425,10.7679,4.71786,1.34181,0.237302,0.104898,0.20117,0.521437,0.329199,0.386831,0.315936,0.71603,0.149529,3.81318,0.276591,,-0.565821,69.364,1.3465,105.75,-0.565821,-0.56,3.3573209643363953,0.8401947617530823,2.38895,736.77001953125,,,,,,,610.9,4.332624113,610.9,4.332624113,,,,,,,,,,,,,,,,,,,"Jake Cronenworth","18036",630105
"J.T. Realmuto","PHI",120.996,474.158,425.258,109.779,70.8353,22.4395,1.6592,14.8451,58.0959,58.0984,31.3179,0.832105,113.195,6.98333,3.54597,0.488869,8.63591,8.48625,2.57779,0.258147,0.0660496,0.238728,0.276673,0.317017,0.423443,0.320835,0.74046,0.165295,4.71247,0.315643,,-0.0733901,59.0205,2.9951,103.757,-0.0733901,-3.54,2.0379850193858147,5.508846282958984,2.38615,213.88999938964844,,,,,,,528,4.363636363,528,4.363636363,,,,,,,,,,,,,,,,,,,"J.T. Realmuto","11739",592663
"Carlos Correa","HOU",129.216,545.508,485.288,125.973,88.5786,22.1775,0.496801,14.7202,61.9532,60.9759,48.7479,1.56319,107.702,3.2876,3.73236,0.514922,12.3912,0.458742,0.166913,0.259584,0.0893623,0.197435,0.452617,0.329002,0.39833,0.318275,0.727332,0.138746,1.99029,0.303474,,-0.894574,66.7679,2.31196,104.367,-0.894574,0.18,1.9131453037261963,2.5679652094841003,2.37944,273.6600036621094,,,,,,,581.4,4.506976744,581.4,4.506976744,,,,,,,,,,,,,,,,,,,"Carlos Correa","14162",621043
"Max Muncy","LAD",111.586,454.296,380.461,84.2839,44.8209,17.0002,1.23294,21.23,62.0651,62.0196,64.2112,2.27485,112.15,5.45114,3.71548,0.456912,5.94961,2.40352,0.770651,0.221531,0.141342,0.246865,0.572549,0.339209,0.440097,0.338393,0.779306,0.218566,3.49812,0.251414,,-0.575655,63.0244,9.34585,117.905,-0.575655,-2.7,9.064786911010742,-1.2959028482437134,2.34126,249.6999969482422,,,,,,,550.8,4.917857142,550.8,4.917857142,,,,,,,,,,,,,,,,,,,"Max Muncy","13301",571970
"Colton Cowser","BAL",128.629,517.995,459.089,105.084,60.6298,22.5513,0.836259,21.0662,66.3843,62.5817,47.6125,1.65112,162.985,7.17754,3.25527,0.860293,7.72216,11.1382,3.18749,0.228896,0.0919169,0.314646,0.292129,0.309153,0.419321,0.316099,0.728474,0.190425,4.69594,0.301902,,0.17125,62.4852,1.28006,103.737,0.17125,0.39,2.452638417482376,2.3750152587890625,2.31801,260.82000732421875,,,,,,,576.3,4.46744186,576.3,4.46744186,,,,,,,,,,,,,,,,,,,"Colton Cowser","29591",681297
"Daulton Varsho","TOR",133.242,544.774,491.528,108.616,58.7554,21.5006,2.07354,26.2861,69.567,71.6528,43.8752,1.08475,143.091,4.54521,3.62095,1.20426,6.37712,9.8295,2.26992,0.220975,0.0805383,0.262662,0.306624,0.288898,0.43359,0.310563,0.722488,0.212614,5.14571,0.252721,,0.335949,63.2671,-1.10214,99.0829,0.335949,2,-0.2529064416885376,4.056203603744507,2.30751,205,,,,,,,598.4,4.49924812,598.4,4.49924812,,,,,,,,,,,,,,,,,,,"Daulton Varsho","19918",662139
"Mike Trout","LAA",117.877,501.831,424.007,100.767,55.923,19.1262,1.01748,24.7005,64.2705,68.8222,67.6185,5.16356,152.001,6.66051,3.13417,0.411185,6.00629,3.35319,1.03432,0.237655,0.134744,0.302893,0.444855,0.349101,0.462327,0.349066,0.811428,0.224672,3.38111,0.303733,,-0.5784,73.9673,14.6721,123.824,-0.5784,-0.51,13.512636125087738,-8.241130113601685,2.3065,180.6699981689453,,,,,,,665.3,5.638135593,665.3,5.638135593,,,,,,,,,,,,,,,,,,,"Mike Trout","10155",545361
"Colson Montgomery","CHW",130.328,549.79,491.659,106.761,62.1356,20.0432,1.77749,22.8051,62.0316,66.468,45.0589,1.81546,168.186,8.74287,3.81666,0.512643,7.87275,3.56624,1.03936,0.217145,0.0819566,0.30591,0.267911,0.292317,0.404294,0.302154,0.696612,0.187149,3.88095,0.275733,,-0.465784,60.0961,-4.86581,92.4295,-0.465784,2.66,-5.371422290802002,8.693703889846802,2.27596,229.85000610351562,,,,,,,559.6,4.304615384,559.6,4.304615384,,,,,,,,,,,,,,,,,,,"Colson Montgomery","29712",695657
"Jarren Duran","BOS",139.99,607.291,545.71,142.975,86.4231,33.9245,3.63096,18.9964,82.3645,70.5874,50.107,0.840175,138.945,7.00377,3.31268,1.15786,9.03291,24.5591,5.08649,0.261998,0.082509,0.228794,0.360626,0.330102,0.441903,0.334241,0.772005,0.179905,6.32071,0.317015,,1.88679,82.2019,10.4458,110.594,1.88679,0.69,9.469237446784973,-8.403522074222565,2.24757,71.58999633789062,,,,,,,759.3,5.423571428,759.3,5.423571428,,,,,,,,,,,,,,,,,,,"Jarren Duran","24617",680776
