Name,PA,R,HR,RBI,SO,TB,SB,OBP,zR,zHR,zRBI,zSO,zTB,zSB,zOBP,zTotal
Wenceel Pérez,625,74,17,72,136,225,13,0.308,0.49,0.24,0.43,-0.73,0.57,0.19,-0.05,1.14
Zach McKinstry,625,74,16,67,137,219,15,0.317,0.49,0.22,0.4,-0.73,0.55,0.24,-0.03,1.14
Edmundo Sosa,625,74,20,76,140,233,9,0.314,0.49,0.27,0.45,-0.75,0.59,0.14,-0.04,1.14
Mauricio Dubón,625,72,14,65,96,221,7,0.306,0.48,0.18,0.39,-0.52,0.55,0.11,-0.06,1.14
Will Benson,625,76,21,75,157,231,11,0.32,0.51,0.29,0.45,-0.84,0.58,0.17,-0.02,1.14
Kyle Stowers,625,75,28,86,176,252,4,0.324,0.5,0.38,0.51,-0.94,0.63,0.07,-0.01,1.13
Matt Wallner,625,77,27,81,180,244,7,0.332,0.51,0.37,0.48,-0.96,0.61,0.11,0.01,1.13
Brandon Lowe,625,79,26,78,158,243,5,0.312,0.52,0.35,0.46,-0.85,0.61,0.08,-0.04,1.13
Mike Yastrzemski,625,77,22,71,145,228,7,0.323,0.51,0.3,0.42,-0.78,0.57,0.11,-0.01,1.13
Sung-Mun Song,625,72,17,69,123,217,11,0.314,0.48,0.23,0.41,-0.66,0.54,0.17,-0.04,1.13
Giancarlo Stanton,625,74,31,91,175,246,3,0.31,0.49,0.42,0.54,-0.94,0.62,0.05,-0.05,1.13
Vaughn Grissom,625,74,17,70,132,222,10,0.321,0.49,0.23,0.42,-0.71,0.56,0.15,-0.02,1.13
Jake Bauers,625,75,23,75,165,227,13,0.32,0.49,0.32,0.45,-0.88,0.57,0.2,-0.02,1.13
Graham Pauley,625,73,19,73,133,224,9,0.314,0.48,0.26,0.43,-0.71,0.56,0.14,-0.04,1.13
Andy Ibáñez,625,73,18,74,132,226,9,0.317,0.48,0.25,0.44,-0.71,0.57,0.14,-0.03,1.13
Michael Massey,625,71,19,73,130,233,8,0.311,0.47,0.26,0.43,-0.7,0.58,0.12,-0.05,1.13
Carlos Correa,625,73,20,74,128,237,1,0.331,0.48,0.27,0.44,-0.69,0.59,0.01,0.01,1.12
Jake Meyers,625,73,15,65,133,216,15,0.321,0.48,0.2,0.39,-0.71,0.54,0.24,-0.02,1.12
