Name,Type,GS,G,IP,IP_wk,L_wk,SV_wk,HLD_wk,K_wk,QS_wk,ER_wk,WH_wk,ERA,WHIP,WAR
Justin Slaten,RP,,54.4,59.4,2.38,0.135,0.05,0.335,2.21,0,1.063,2.983,4.025,1.254,0.38
Justin Wrobleski,RP,,31.2,51.0,2.04,0.097,0.009,0.124,1.9,0,0.936,2.62,4.131,1.285,0.38
Justin Wilson,RP,,43.9,42.6,1.71,0.057,0.004,0.299,1.83,0,0.705,2.108,3.719,1.236,0.37
Luke Weaver,RP,,61.6,69.2,2.77,0.167,0.199,0.767,2.97,0,1.179,3.261,3.835,1.179,0.37
Erik Miller,RP,,60.7,61.2,2.45,0.102,0.045,0.436,2.65,0,0.949,3.329,3.491,1.361,0.37
Brad Keller,RP,,57.2,64.9,2.6,0.15,0.213,0.71,2.39,0,1.068,3.304,3.702,1.273,0.37
Christian Scott,RP,,26.3,39.2,1.57,0.072,0.0,0.026,1.51,0,0.665,1.864,3.814,1.189,0.37
Eric Lauer,RP,,39.3,62.0,2.48,0.137,0.0,0.088,2.41,0,1.145,3.126,4.157,1.261,0.36
Yimi García,RP,,56.6,57.7,2.31,0.095,0.161,0.4,2.51,0,0.962,2.789,3.749,1.208,0.36
Kyle Harrison,RP,,29.6,46.5,1.86,0.082,0.0,0.064,1.9,0,0.833,2.406,4.03,1.294,0.36
Caleb Ferguson,RP,,56.9,56.8,2.27,0.094,0.003,0.357,2.15,0,1.024,3.034,4.059,1.336,0.36
Cal Quantrill,SP,13.5,,72.3,6.16,0.394,0,0,5.17,0.362,3.113,8.253,4.549,1.34,0.35
Ryan Bergert,SP,8.5,,64.3,6.88,0.361,0,0,6.11,0.385,3.288,9.041,4.302,1.314,0.35
Matt Gage,RP,,52.0,54.3,2.17,0.079,0.002,0.185,1.9,0,0.958,2.861,3.968,1.317,0.35
Eduard Bazardo,RP,,61.4,65.0,2.6,0.087,0.027,0.368,2.64,0,1.09,3.089,3.769,1.187,0.34
Kenley Jansen,RP,,57.3,59.2,2.37,0.133,0.927,0.106,2.41,0,1.04,2.839,3.952,1.199,0.34
Jack Dreyer,RP,,39.7,41.9,1.68,0.053,0.011,0.147,1.63,0,0.716,2.054,3.843,1.225,0.34
Kyle Hurt,RP,,14.5,31.8,1.27,0.051,0.0,0.062,1.28,0,0.583,1.667,4.125,1.31,0.34
Clarke Schmidt,RP,,14.4,30.1,1.21,0.061,0.0,0.032,1.2,0,0.508,1.478,3.797,1.227,0.34
