Week,Team,ERA,H/AB,HLD,HR,IP,K,K.1,L,OBP,QS,R,RBI,SB,SV,TB,WHIP
7,Acuña Matata,3.12,50/206,2.0,12.0,60.2,46.0,50.0,2.0,0.339,4.0,33.0,34.0,7.0,0.0,95.0,1.2
7,Beasts of the East,2.54,60/239,3.0,13.0,67.1,49.0,62.0,4.0,0.313,6.0,35.0,35.0,8.0,1.0,114.0,1.14
7,Cleveland Steamers,3.65,47/190,1.0,12.0,37.0,48.0,42.0,3.0,0.335,1.0,30.0,42.0,6.0,1.0,91.0,1.57
7,Colson Anthony Teel Jr.,5.33,55/220,3.0,6.0,52.1,51.0,48.0,4.0,0.313,3.0,23.0,31.0,6.0,2.0,92.0,1.51
7,Derty's Rolling Crew,2.52,59/215,1.0,9.0,50.0,50.0,50.0,2.0,0.355,5.0,28.0,28.0,3.0,2.0,98.0,1.1
7,My Team Snells Like Shit,3.26,56/218,2.0,7.0,60.2,47.0,57.0,1.0,0.315,4.0,27.0,27.0,6.0,2.0,90.0,1.15
7,North Shore Beefs,3.03,47/212,1.0,10.0,32.2,49.0,40.0,2.0,0.27,1.0,28.0,25.0,4.0,2.0,94.0,0.92
7,Put Up or Shut Up,3.39,54/227,1.0,7.0,71.2,53.0,71.0,4.0,0.307,6.0,28.0,31.0,5.0,3.0,88.0,0.96
7,Shmoulie,6.01,65/219,1.0,15.0,79.1,61.0,75.0,8.0,0.358,6.0,32.0,38.0,0.0,1.0,124.0,1.34
7,Skrey's SQUAD,4.6,66/242,1.0,13.0,86.0,48.0,76.0,5.0,0.33,5.0,34.0,34.0,6.0,5.0,110.0,1.23
7,Tardy Plumbers,3.5,53/222,3.0,9.0,36.0,58.0,39.0,1.0,0.325,5.0,32.0,25.0,5.0,1.0,93.0,1.28
7,The Bronx Boofers,4.37,53/219,5.0,11.0,47.1,54.0,52.0,3.0,0.292,1.0,24.0,32.0,5.0,4.0,93.0,1.14
7,The Murk Ma$ter,5.23,62/199,1.0,11.0,41.1,50.0,46.0,4.0,0.413,3.0,32.0,33.0,4.0,2.0,110.0,1.38
7,UNKle Jerik,2.86,47/206,2.0,7.0,50.1,50.0,49.0,2.0,0.283,3.0,21.0,18.0,3.0,4.0,80.0,1.05
