Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Taylor Trammell","HOU",24,104,90,20,11,4,1,3,12,12,12,0,31,1,1,0,,3,1,0.2176,0.11769,0.297218,0.395973,0.315552,0.39157,0.311533,0.707123,0.17397,5.36176,0.287226,-0.0380443,0.0205397,12.1252,-0.128154,99.7226,-0.0175045,-0.467688,-0.05141233280301094,-1.0602803230285645,0.251644,999,,,,,,,109.4,4.558333333,109.4,4.558333333,,,,,,,,,,,,,,,,,,,"Taylor Trammell","19960",666211
"Jahmai Jones","DET",25,110,95,23,14,5,1,3,14,13,11,0,27,2,1,0,,2,1,0.239506,0.10451,0.250115,0.417847,0.33336,0.413786,0.327082,0.747146,0.17428,5.62238,0.300416,-0.00126642,-0.123684,14.2237,1.25046,109.608,-0.124951,0.068993,1.1183864772319794,-2.4518402069807053,0.250421,999,,,,,,,122.2,4.888,122.2,4.888,,,,,,,,,,,,,,,,,,,"Jahmai Jones","18872",663330
"Thomas Saggese","STL",32,137,126,30,21,6,0,3,14,14,8,0,36,2,1,0,,2,1,0.240742,0.0619717,0.260957,0.237478,0.295069,0.357565,0.287189,0.652634,0.116823,4.01868,0.313142,0.0159821,-0.194909,13.3165,-2.87839,84.467,-0.178927,0.477946,-2.702215999364853,0.5532546639442444,0.246996,999,,,,,,,118.6,3.70625,118.6,3.70625,,,,,,,,,,,,,,,,,,,"Thomas Saggese","27883",695336
"Nick Yorke","PIT",34,146,133,34,24,7,0,2,16,14,11,0,32,1,1,0,,3,1,0.253271,0.0720424,0.216777,0.332334,0.311817,0.364334,0.297539,0.676151,0.111063,4.50275,0.313204,0.0187859,-0.111602,15.4535,-1.84419,87.5256,-0.0928161,0.0563362,-2.257229834794998,-0.24242926016449928,0.242907,999,,,,,,,135.4,3.982352941,135.4,3.982352941,,,,,,,,,,,,,,,,,,,"Nick Yorke","27504",694377
"Max Clark","DET",21,89,78,18,13,3,1,1,9,8,10,0,18,1,1,0,,2,1,0.234671,0.1096,0.206125,0.531717,0.322576,0.348568,0.299064,0.671143,0.113896,5.02243,0.287408,-0.0142058,0.00337961,9.4925,-1.00968,90.3068,-0.0108262,0,-1.0262727374210954,0.3174382746219635,0.240642,999,,,,,,,80.6,3.838095238,80.6,3.838095238,,,,,,,,,,,,,,,,,,,"Max Clark","sa3022683",703601
"Alejandro Osuna","TEX",24,105,91,23,16,4,0,2,12,11,10,0,22,2,1,1,,3,1,0.248676,0.095937,0.211264,0.454111,0.333886,0.372398,0.313175,0.706284,0.123722,5.02952,0.305583,0.0316765,-0.15523,12.3657,0.0101768,101.684,-0.123553,-0.225001,0.0839582234621048,-1.3453716784715652,0.239371,999,,,,,,,107.1,4.4625,107.1,4.4625,,,,,,,,,,,,,,,,,,,"Alejandro Osuna","27915",696030
"Tristan Gray","MIN",36,157,143,32,19,7,1,5,17,19,10,0,47,2,1,1,,1,0,0.221342,0.0652815,0.297461,0.219462,0.278996,0.381829,0.286819,0.660825,0.160487,3.47966,0.288788,-0.0515176,-0.208235,15.1922,-3.3411,81.3649,-0.259753,-0.099426,-3.7047870755195618,0.6101419255137444,0.236022,999,,,,,,,147.1,4.086111111,147.1,4.086111111,,,,,,,,,,,,,,,,,,,"Tristan Gray","19877",656484
"Bo Naylor","CLE",14,56,50,10,6,2,0,2,6,7,6,0,14,0,0,0,,0,0,0.211071,0.104918,0.239437,0.438185,0.29682,0.38484,0.298682,0.68166,0.173769,3.29907,0.246007,-0.0048451,-0.0766625,6.00749,-0.65836,91.4789,-0.0815075,-0.112484,-0.6480893343687057,0.9893680214881897,0.233793,574.2899780273438,,,,,,,48.6,3.471428571,48.6,3.471428571,,,,,,,,,,,,,,,,,,,"Bo Naylor","21865",666310
"Hyeseong Kim","LAD",24,105,96,24,18,4,1,2,12,12,6,0,26,1,1,1,,6,1,0.248175,0.0582206,0.247018,0.235694,0.297829,0.351557,0.285611,0.649386,0.103382,6.95317,0.320077,-0.0103445,0.605626,10.0256,-2.32995,81.7473,0.595281,0.00572398,-1.6668624877929688,0.45387210650369525,0.232077,740.77001953125,,,,,,,104.1,4.3375,104.1,4.3375,,,,,,,,,,,,,,,,,,,"Hyeseong Kim","35322",808975
"Pavin Smith","ARI",34,148,127,30,19,6,1,4,17,17,19,0,38,1,1,0,,1,0,0.237164,0.126531,0.256499,0.4933,0.335145,0.393442,0.320907,0.728587,0.156278,3.74822,0.30218,-0.185954,-0.182023,18.3816,0.940928,104.432,-0.367977,0.0150402,0.4074063003063202,-3.0726141752675176,0.23009,999,,,,,,,163.6,4.811764705,163.6,4.811764705,,,,,,,,,,,,,,,,,,,"Pavin Smith","19892",656976
